14:19:39.535 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:19:39.536 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:21:00.007 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:21:00.008 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:22:51.172 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:22:51.172 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:31:02.181 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:31:02.181 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
10:30:35.366 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
10:30:35.366 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
10:40:34.076 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
10:40:34.076 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
10:47:20.397 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
10:47:20.397 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
10:55:01.595 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
10:55:01.595 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:03:50.360 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:03:50.360 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:11:20.057 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:11:20.057 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:18:06.726 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:18:06.726 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:39:27.088 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:39:27.088 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:52:45.022 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:52:45.022 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
12:06:01.003 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
12:06:01.003 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:30:40.028 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:30:40.028 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
15:20:30.721 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:20:30.721 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
10:27:49.287 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
10:27:49.287 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
10:31:13.513 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
10:31:13.514 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
10:35:34.700 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
10:35:34.700 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
10:58:15.927 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
